lat,lng,competitor_count_1km,area_store_density_3km,competition_ratio,is_high_competition,log_reviews,rating
12.900545500000002,77.69282119999987,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.69782119999986,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.70282119999986,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.70782119999986,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.71282119999985,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.71782119999985,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.72282119999984,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.72782119999984,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.73282119999983,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.73782119999983,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.74282119999982,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.74782119999982,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.75282119999981,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.75782119999981,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.7628211999998,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.7678211999998,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.7728211999998,0,0,0.0,0,3.020127355638707,4.05
12.905545500000002,77.5478212,0,0,0.0,0,3.020127355638707,4.05
12.905545500000002,77.5528212,0,0,0.0,0,3.020127355638707,4.05
12.905545500000002,77.55782119999999,0,0,0.0,0,3.020127355638707,4.05
12.905545500000002,77.56282119999999,0,1,0.0,0,3.020127355638707,4.05
12.905545500000002,77.56782119999998,0,2,0.0,0,3.020127355638707,4.05
12.905545500000002,77.57282119999998,0,5,0.0,0,3.020127355638707,4.05
12.905545500000002,77.57782119999997,0,13,0.0,0,3.020127355638707,4.05
12.905545500000002,77.58282119999997,0,26,0.0,0,3.020127355638707,4.05
12.905545500000002,77.58782119999996,0,35,0.0,0,3.020127355638707,4.05
12.905545500000002,77.59282119999996,1,47,0.020833333333333332,0,3.020127355638707,4.05
12.905545500000002,77.59782119999996,6,56,0.10526315789473684,0,3.020127355638707,4.05
12.905545500000002,77.60282119999995,14,60,0.22950819672131148,1,3.020127355638707,4.05
12.905545500000002,77.60782119999995,15,63,0.234375,1,3.020127355638707,4.05
12.905545500000002,77.61282119999994,13,69,0.18571428571428572,1,3.020127355638707,4.05
12.905545500000002,77.61782119999994,9,69,0.12857142857142856,0,3.020127355638707,4.05
12.905545500000002,77.62282119999993,6,66,0.08955223880597014,0,3.020127355638707,4.05
12.905545500000002,77.62782119999993,8,62,0.12698412698412698,0,3.020127355638707,4.05
12.905545500000002,77.63282119999992,3,50,0.058823529411764705,0,3.020127355638707,4.05
12.905545500000002,77.63782119999992,2,37,0.05263157894736842,0,3.020127355638707,4.05
12.905545500000002,77.64282119999991,1,26,0.037037037037037035,0,3.020127355638707,4.05
12.905545500000002,77.64782119999991,1,21,0.045454545454545456,0,3.020127355638707,4.05
