name,lat,lng,rating,user_ratings_total,vicinity
Families Supermarket Kanaka Nagar,13.0335073,77.6090614,4.1,1912,"Near RK Palace Auditorium, #13&14, Adarsh Nagar, Near RK Palace Auditorium, KHB Colony Main Road, Kanaka Nagar, Kaval Bairasandra, Bengaluru"
Ruby Food World,13.0201143,77.59956609999999,4.3,97,"near Bank Of India, Adi Kabir Ashram Main Road 14, 11th Cross, near Bank Of India, Thimmaiah Road, RT Nagar, Bengaluru"
Reliance Fresh,13.055345,77.6025811,3.7,2659,"1 & Katha, Cross Bhuvaneshwari Nag House List No.1.Katha. 574/745A, 574, 9th Street, Bengaluru"
Velan's Shop'n'save,13.014543,77.59457600000002,4.3,117,"near G M Temple, #17, 1st Main Road, Matadahalli, RT Nagar, Bengaluru"
Metro traders,13.020615,77.6126033,4.3,6,"30, 1, Shampura Main Road, Shampura, Kaval Bairasandra, Bengaluru"
Easy Bazar,13.0399039,77.6206522,3.9,1639,"96, Vyalikaval HBCS Layout, Nagavara, Bengaluru"
Al ameen store UMAR N,13.0350602,77.62104149999999,3.9,9,"216, Nagavara, Bengaluru"
Nature's Basket,13.0596721,77.5931009,4.1,1484,"Pragathi"" Property No. 2759, next to Hotel Swathi Gardenia, E Block, Bengaluru"
Reliance SMART Bazaar,13.0476146,77.5741948,3.8,15089,"Shop No 52/3, Maruti Arcade, near Trends, Bhadrappa Layout Rd, Bhadrappa Layout, Devinagar, Bengaluru"
Fine Food,13.0599083,77.5876871,4.0,173,"2380, near SBM Bank, E Block, 1st Main Road, Sahakar Nagar, Bengaluru"
Sampoorna Shopping Center,13.0432,77.570517,3.8,378,"near Maruti nilaya, 16, Dollars Colony, near Maruti nilaya, 1st Cross Road, Raj Mahal Vilas 2nd Stage, Bengaluru"
Namma mart nimma choice,13.0345022,77.5968475,0.0,0,"2nd Cross Road, Gundappa Reddy Layout, Bengaluru"
Saraswathi Provision Store,13.0362935,77.59978699999999,3.0,4,"08, 8th Cross Road, CIL Layout, Patel Muniyappa Layout, Sultanpalya, Hebbal, Bengaluru"
Dolly mini mart,13.0351349,77.5997522,2.7,6,"Dolly mini mart, near acaharaya college, Hebbal, Bengaluru"
Families Supermarket,13.0351854,77.6002979,4.1,946,"NRV Complex, 1st and 2nd Cross, Thimmakka Layout, near Acharya College, 16-17, Chamundi Nagar Main Road, Cholanayakanahalli, Hebbal, Bengaluru"
Rose Super Bazaar,13.039162,77.5995975,4.0,1332,"V.Nagenahalli Main Road, RT Nagar, Guddadahalli, Hebbal, Bengaluru"
Sri Krishna Fresh Mart,13.0398148,77.594032,5.0,2,"1/7, Guddadhalli Main Road, Baiyanna Layout, Hebbal, Bengaluru"
Ms Provision Store,13.0338257,77.6034616,3.5,13,"481, 5th Main Road, Seethappa Layout, Chamundi Nagar, Hebbal, Bengaluru"
Stikon mart,13.0349383,77.6040689,4.9,14,"near statebank, 22, 6th Main Road, R. Krishnappa Layout, Patel Muniyappa Layout, Bhuvaneswari nagar, Hebbal, Bengaluru"
Guna Provision Stores,13.0281192,77.60136279999999,4.4,18,"1255, 2nd Cross Road, RT Nagar, Sultanpalya, Hebbal, Bengaluru"
Athif Stores,13.0356889,77.6067114,0.0,0,"No 24, near Sri Ranga Medicals, 1, V, Vishwanath Naganahalli Main Road, Kanaka Nagar, Kanakanagar, Bengaluru"
Watan Foods,13.0336848,77.6079365,4.9,74,"C Block, 1, 1st Cross Road, Kanaka Nagar, Hebbal, Bengaluru"
More Supermarket - RT Nagar CBI Road Bangalore,13.0265886,77.590931,3.9,865,"No. 3/4 Aryan Arcade V Vishwanath Naganahalli Main Road CIL Layout Guddadahalli, RT Nagar, Bengaluru"
Reliance Fresh,13.0304267,77.6079589,3.5,368,"Number 130, Corp Ward, Property Id No. 96 174-146 1st Main Road, Bmp No.146, KHB Colony Main Road, Manorayana Palya, Bengaluru"
Shoppy Mart SMM,13.0462043,77.6034529,4.5,4,"Prestige Misty Waters Tower-4, Nagavara, Bengaluru"
S S VALUE MART,13.0274001,77.6065981,4.2,18,"KHB Colony Main Road, Ranka Nagar, Kaval Bairasandra, Bengaluru"
RK Dry Fruits and Spices,13.0247045,77.5906408,4.8,48,"79/1, SKS Complex, 5th Main Road Ganganagar, post, RT Nagar, Bengaluru"
Mallikarjuna Coconut Shop,13.0246654,77.59028900000001,5.0,7,"Shop No 11, 5th Main Road, Ganga Nagar, RT Nagar, Bengaluru"
Balaji Super Market,13.0254581,77.5882562,3.8,9,"8/22, 1, Bengaluru"
KNIGHT RIDERS,13.0245132,77.58955999999999,0.0,0,"5th Main Road, Ganganager, Ganganagar, Bengaluru"
HIRSE ORGANIC STORE,13.0222338,77.5968934,4.3,11,"298, 17th Cross Road, 2nd Block, RT Nagar, Bengaluru"
Grocery99.com,13.0247512,77.58830809999999,5.0,4,"no.58, 7th Cross Road, Ganganagar, Bengaluru"
Harvest shoppy mart,13.0425602,77.609887,4.5,8,Bengaluru
SAVOmart Kempapura,13.049631,77.60168259999999,3.2,6,"near Apollo Pharmacy, 8/9, Vinayaka Layout, Hebbal Kempapura, Bengaluru"
Annapurna Mart - অন্নপূর্ণা মার্ট,13.0252399,77.58661409999999,4.4,40,"next to Lenskart showroom, 9 7th cross 5th main hebbal, next to Lenskart showroom, market road, Ganganagar, Ganganagar, Bengaluru"
Nasmart,13.0243604,77.5873606,4.6,9,"No 117/26 Nile Towers Ground Floor 4th Main Road Ganganagar Ganganagar, RT Nagar, Bengaluru"
KPN Fresh - RT Nagar,13.021535,77.592435,4.5,185,"Shop No 01, KH Muniswamappa Block, 7th Main Road, RT Nagar, Ganganagar, Bengaluru"
Uma's kitchen gallery,13.0233476,77.5884468,0.0,0,"No:18, 5th Main Road, Ganganagar, Post, RT Nagar, Bengaluru"
Nayan Fruits And Vegetables,13.0434044,77.5836099,4.7,3,"Devinagar Main Road, Bengaluru"
"KPN Fresh - 3rd Main Road, Coffee Board Layout",13.0485319,77.6055667,4.5,78,"Shop No 1651, Ground Floor, near Rama Mandir, 3rd Main Road, Coffee Board Layout, Hebbal Kempapura, Bengaluru"
"Capital Hypermarket,",13.026266,77.60920999999999,4.1,1690,"next to BESCOM office, 2, LR Bande Road, Ambedkar Layout, RT Nagar, Shampura, Kaval Bairasandra, Bengaluru"
MANJULA C,13.0410961,77.58231459999999,5.0,1,"Park View Layout, near Water Tank, 69, 5th Cross Road, Bengaluru"
Hopcoms Stall 63,13.0242488,77.5866087,3.3,3,"100-102, 5th Cross Road, Ganga Nagar Layout, Ganganagar, Bengaluru"
SM FRESH MART,13.0204103,77.5931729,4.1,1516,"329, Taralabalu Marg, Rahmath Nagar, RT Nagar, Bengaluru"
KPN Fresh - LR Bande,13.028226,77.61156199999999,4.7,633,"Nanda Gokula Layout, Plot No 475/3, Shampura Main Road, Kaval Bairasandra, Bengaluru"
Fathima Store,13.0361016,77.6136587,4.6,36,"Zafarulla Layout, 43, Veerannapalya Main Road, Govindapura, Nagavara, Bengaluru"
Ever Green Super Market,13.0413255,77.5807165,4.5,14,"9/10, 3rd Main Road, Bengaluru"
Shopwel Mart,13.0391641,77.6141695,3.9,14,"403, Veeranapalaya Road, Nagavara, Bengaluru"
